id,title,type,directors,actors,release_year,duration,categories,plot
4099,ayana,movie,gangadhar salimath,"deepak subramanya,apoorva soma,ramesh bhat,harsha h s,karthik a,goutham shashidhar,nagshree karkone,moksha kushal,vedashree rao",2017,112 min,"dramas,independent movies,international movies",with his carefree bachelor days behind him a young entrepreneurs ambitions for adulthood come with some painful personal and professional decisions
4100,behind the curve,movie,daniel j clark,,2018,96 min,documentaries,meet the growing worldwide community of theorists who defend the belief that the earth is flat while living in a society who vehemently rejects it
4101,buddies,movie,marcelo galvão,"ariel goldenberg,rita pokk,breno viola,lima duarte,marco luque,daniel torres,monaliza marchi,amélia bittencourt,giulia de souza merigo,deto montenegro,rui unas",2012,103 min,"comedies,dramas,independent movies",inspired by the movie thelma  louise three young people with down syndrome leave the institution where they live to take a road trip together
4102,candyflip,movie,shanawaz nellikunnil,"prashant prakash,kalki koechlin,prakash raj,gulshan devaiah,valeriya polyanychko",2017,104 min,"dramas,independent movies,international movies",on the incandescent shores of goa a young man tumbles down a mindbending  and soon dangerous  series of trips after taking hallucinatory drugs
4103,chameli,movie,sudhir mishra,"kareena kapoor,rahul bose,rinke khanna,yashpal sharma,makrand deshpande,kabir sadanand,pankaj jha",2004,102 min,"dramas,international movies",while taking shelter from a mumbai monsoon an investment banker forms an unlikely connection with a naïve prostitute over the course of the night
4104,fatso,movie,rajat kapoor,"ranvir shorey,gul panag,purab kohli,neil bhoopalam,gunjan bakshi,saurabh shukla,atul kumar,brijendra kala,bharati achrekar,rahul vohra",2012,97 min,"comedies,dramas,international movies",killed too soon due to a clerical error in heaven a man is sent back to earth with a new lease on life this time in the body of his portly friend
4105,hjørdis,tv show,lars kaalund,"lise baastrup,martin brygmann,ellen hillingsø,nicky andersen,nicoline sharma rubow,jasmin bartwilliams,william rützou,marius due,robert hansen",2015,1 season,"international tv shows,tv comedies,tv dramas",this miniseries spinoff of rita follows teacher hjørdis as she plans a school play on bullying featuring a cast of socially awkward students
4106,larry charles dangerous world of comedy,tv show,,larry charles,2019,1 season,"docuseries,tv comedies",legendary comedy writer and director larry charles travels the world in search of humor in the most unusual unexpected and dangerous places
4107,neevevaro,movie,hari nath,"aadhi,tapsee pannu,ritika singh,vennela kishore,sapthagiri",2018,132 min,"dramas,international movies,romantic movies",when a blind chefs girlfriend goes missing his unnerving search for her leads him to find there is more to her disappearance than what meets the eye
4108,pyaar ke side effects,movie,saket chaudhary,"rahul bose,mallika sherawat,ranvir shorey,sharat saxena,aamir bashir,taraana raja,jas arora,suchitra pillai,sapna bhavnani,sophiya chaudhary",2006,120 min,"comedies,international movies,romantic movies",a commitmentphobe agrees to marry his girlfriend setting in motion a series of hilarious mishaps that has him questioning what he got himself into
4109,sur the melody of life,movie,tanuja chandra,"lucky ali,simone singh,achint kaur,ehsan khan,harsh vasisht,yashodhan bal,gauri karnik,divya dutta",2002,137 min,"dramas,international movies",a renowned music teacher mentors a promising young singer but when her fame begins to overshadow his own he let us jealousy and competition take over
4110,the 43,tv show,,paco ignacio taibo ii,2019,1 season,"crime tv shows,docuseries,international tv shows",this docuseries disputes the mexican governments account of how and why 43 students from ayotzinapa rural teachers college vanished in iguala in 2014
4111,the breaker upperers,movie,"jackie van beek,madeleine sami","madeleine sami,jackie van beek,james rolleston,celia pacquola,ana scotney,rima te wiata,carl bland,brett ogorman,cohen holloway,jemaine clement",2018,82 min,"comedies,independent movies,international movies",for the right price bffs jen and mel will ruthlessly end any romance but when one of them grows a conscience their friendship begins to unravel
4112,the kirlian frequency,tv show,,"nicolás van de moortele,letizia denise bloisi,maría dupláa,ciro herce,milagros molina,jorge pinarello,casper uncal,jorge luis alonso",2017,1 season,"international tv shows,spanishlanguage tv shows,tv horror",in the midnight hour a lone dj broadcasts the strangest  and scariest  tales from the outer edges of kirlian a lost city somewhere in argentina
4113,ugly aur pagli,movie,sachin kamlakar khot,"mallika sherawat,ranvir shorey,tinnu anand,sushmita mukherjee,manish anand,vihang nayak,bharati achrekar,zeenat aman",2008,115 min,"comedies,international movies,romantic movies",everyday guy kabir is thrown for a loop when he meets kuhu a freewheeling party girl now he is a changed man dancing running halfnaked through the streets and donning ladies shoes at her whim
4114,yucatán,movie,daniel monzón,"luis tosar,rodrigo de la serna,joan pera,stephanie cayo,gloria muñoz,adrián núñez,alicia fernández,jorge asín,agustín jiménez,lupe cartié roda,txell aixendri,xavi lite,alejandro vera,joão lagarto",2018,130 min,"comedies,international movies",competing con artists attempt to creatively and ruthlessly swindle a fatherly lottery winner while on a lively cruise from spain to mexico
4115,barbie dreamhouse adventures,tv show,,"america young,kirsten day,cassandra morris,cassidy naber,ritesh rajan",2018,3 seasons,kids tv,get to know barbie and her bffs  including nextdoor neighbor ken  in this animated vlog of adventures filmed inside her familys new dreamhouse
4116,ken jeong you complete me ho,movie,jon m chu,ken jeong,2019,62 min,standup comedy,in his firstever standup special ken jeong pays tribute to his wife and shares stories about hollywood and how the hangover saved his life
4117,velvet colección,tv show,,"marta hazas,asier etxeandía,adrián lastra,diego martín,fernando guallar,llorenç gonzález,megan montaner,mónica cruz,marta torné,andrea duro,aitana sánchezgijón,adriana ozores,imanol arias",2018,2 seasons,"international tv shows,romantic tv shows,spanishlanguage tv shows",in the late 60s fashion designer ana enlists friends clara pedro and raúl to open a store and design school in barcelona in this velvet spinoff
4118,period end of sentence,movie,rayka zehtabchi,,2018,26 min,documentaries,in rural india where the stigma of menstruation persists women make lowcost sanitary pads on a new machine and stride toward financial independence
4119,iron ladies,tv show,,"aviis zhong,ben wu,ada pan,jacqueline zhu,gabriel lan,jack lee,wu tingchien,wills sia,su yenti,jenny huang",2018,1 season,"international tv shows,romantic tv shows,tv dramas",three 30something women in highlevel jobs at a beauty ecommerce firm seem to have it all  except when it comes to love and romantic chemistry
4120,the break,tv show,,"yoann blanc,guillaume kerbush,anne coesens,jasmina douieb,tom audenaert,sam louwyck,catherine salée,jeanhenri compère",2018,2 seasons,"crime tv shows,international tv shows,tv dramas",a police detective mourning a painful loss moves back to his peaceful hometown only to be drawn into a murder case that dredges up dark secrets
4121,high flying bird,movie,steven soderbergh,"andré holland,zazie beetz,bill duke,kyle maclachlan,melvin gregg,sonja sohn,zachary quinto",2019,91 min,"dramas,sports movies",when an nba lockout sidelines his big rookie client an agent hatches a bold plan to save their careers  and disrupt the leagues power structure
4122,kevin harts guide to black history,movie,tom stern,"kevin hart,saniyya sidney,lil rel howery,eoghan thomas murphy,tiffany haddish,al shearer,lonnie chavis,alphonso mcauley,nika williams,barry brewer,greg germann,john ennis,jay johnston",2019,63 min,"children  family movies,comedies",kevin hart highlights the fascinating contributions of black historys unsung heroes in this entertaining  and educational  comedy special
4123,one day at a time,tv show,,"justina machado,rita moreno,todd grinnell,isabella gomez,marcel ruiz,stephen tobolowsky",2019,3 seasons,tv comedies,in a reimagining of the tv classic a newly single latina mother raises her teen daughter and tween son with the help of her oldschool mom
4124,remastered the two killings of sam cooke,movie,kelly duane de la vega,sam cooke,2019,74 min,"documentaries,music  musicals",while sam cooke rose to stardom as a soul singer his outspoken views on civil rights drew attention that may have contributed to his death at age 33
4125,the tree of blood,movie,julio medem,"úrsula corberó,álvaro cervantes,najwa nimri,patricia lópez arnaiz,daniel grao,joaquín furriel,maria molins,emilio gutiérrez caba,luisa gavasa,josé maría pou,ángela molina",2018,136 min,"dramas,independent movies,international movies",as a young couple write the story of their families shared history both reveal their relatives dark secrets and one must make a painful confession
4126,the last of the schmucks,tv show,,"chico,ahmed mekky,hesham maged,bayoumi fouad,dina elsherbiny",2017,1 season,"international tv shows,tv comedies",the year is 2041 and a dispute between a man and his wife has set the human race back in this battle of the sexes the primitive life is not so simple
4127,hidden worlds,tv show,,"adel imam,salah abdallah,hiba majdi,bushra,fathy abdel wehab,rania farid shawki,ahmad wafiq",2018,1 season,"crime tv shows,international tv shows,tv dramas",while investigating an actresss supposed suicide and her connection to the mafia a veteran journalist discovers that corruption runs deep
4128,live,tv show,,"jung yumi,lee kwangsoo,bae seongwoo,bae jongok,sung dongil",2018,1 season,"crime tv shows,international tv shows,korean tv shows",the police officers at south koreas busiest patrol division toil day and night as keepers of law and peace  but the reality is far from orderly
4129,ray romano right here around the corner,movie,michael showalter,ray romano,2019,59 min,standup comedy,ray romano cut his standup teeth at the comedy cellar in new york now in his first comedy special in 23 years he returns to where it all began
4130,safe,tv show,,"michael c hall,amanda abbington,marc warren,hannah arterton,audrey fleurot,nigel lindsay",2018,1 season,"british tv shows,crime tv shows,international tv shows",after his teenage daughter goes missing a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him
4131,tayee,tv show,,"amr youssef,amr abdel guelil,saba mubarak",2018,1 season,"international tv shows,tv dramas",an egyptian doctor becomes a police informant and uses his rare gift of tracking ancient artifacts in the smuggling business
4132,violet evergarden,tv show,,"yui ishikawa,takehito koyasu,daisuke namikawa,aya endo,koki uchiyama,minori chihara,haruka tomatsu",2018,1 season,"anime series,international tv shows,romantic tv shows",the war is over and violet evergarden needs a job scarred and emotionless she takes a job as a letter writer to understand herself and her past
4133,romance is a bonus book,tv show,,"lee jongsuk,lee nayoung,jung eugene,wi hajun,kim taewoo,kim yumi,cho hancheul,kim sunyoung",2019,1 season,"international tv shows,korean tv shows,romantic tv shows",a gifted writer who is the youngest editorinchief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job
4134,await further instructions,movie,johnny kevorkian,"sam gittins,grant masters,neerja naik,abigail cruttenden,kris saddler,holly weston,david bradley",2018,91 min,"horror movies,scifi  fantasy",a familys tense reunion turns terrifying when they get trapped in their home by an unknown force and sinister commands begin appearing on their tv
4135,manusangada,movie,amshan kumar,"rajeev anand,manimegalai,as sasi kumar,vidhur rajarajan,sheela rajkumar,sethu darwin,anand sampath,karuna prasad",2017,93 min,"dramas,independent movies,international movies",when caste discrimination prevents a villager from giving his deceased father a rightful burial he takes his fight for equality to court
4136,14 minutes from earth,movie,"adam davis,jerry kolber,trey nelson,erich sturm",,2016,84 min,documentaries,a google executive boldly attempts a deathdefying mission to travel to space and freefall back to earth without a rocket
4137,dear ex,movie,"hsu chihyen,mag hsu","roy chiu,hsieh yingxuan,joseph huang,spark chen",2018,100 min,"comedies,dramas,international movies",a teen navigates a bitter feud between his willful mom and a freespirited man who is the lover and insurance beneficiary of his recently deceased dad
4138,free rein valentines day,movie,,"jaylen barron,joe ashman,manpreet bambra,celine buckens,freddy carter,bruce herbelinearle,kerry ingram,charlotte jordan,geoffrey mcgivern,martin bobbsemple,sadie simm,carla woodcock",2019,51 min,"children  family movies,dramas",love is in the air as zoe and friends go on a quest to find a fabled maids stone but when rivalry blinds them to danger it is raven to the rescue
4139,lego dc comics batman beleaguered,movie,rick morales,"dee bradley baker,troy baker,john dimaggio,grey delisle,tom kenny,nolan north,khary payton,james arnold taylor",2014,22 min,movies,when superman and the other justice league superheroes start disappearing it is up to batman to unravel the caper and save the day
4140,lego marvel super heroes black panther,movie,michael d black,"james mathis iii,keston john,yvette nicole brown,daisy lightfoot,isaac c singleton jr,trevor devall,liam obrien,mick wingert,fred tatasciore,laura bailey",2018,22 min,children  family movies,when thanos joins forces with villains killmonger and klaue to destroy earth black panther rushes to stop them from stealing wakandas vibranium
4141,lego marvel super heroes guardians of the galaxy,movie,,,2017,22 min,children  family movies,the guardians are on a mission to deliver the build stone to the avengers before the ravagers thanos and his underlings steal it from them
4142,littlest pet shop a world of our own,tv show,,"rhona rees,ingrid nilson,diana kaarina,travis turner,lili beaudoin,kyle rideout,vincent tong,alessandro juliani,ian hanlin,brittney wilson,bethany brown,tabitha st germain",2018,2 seasons,kids tv,in pawtucket pets of all types form friendships pursue their passions and have a great time being themselves
4143,russian doll,tv show,,"natasha lyonne,charlie barnett,yul vazquez,elizabeth ashley,dascha polanco,jeremy bobb,greta lee,rebecca henderson,brendan sexton iii,chloë sevigny,brooke timber",2019,1 season,"tv comedies,tv dramas",nadia keeps dying and reliving her 36th birthday party she is trapped in a surreal time loop  and staring down the barrel of her own mortality
4144,sparta,tv show,,"alexander petrov,artyom tkachenko,valeria shkirando,marina kaletskaya,alisa lozovskaya,olga sutulova,fillip gorenshtein,olga vinichenko,petar zakavitsa,yan gakharmanov",2018,1 season,"crime tv shows,international tv shows,tv dramas",while investigating the mysterious death of a teacher a grizzled detective gets caught up in the world of a highstakes virtual reality game
4145,sword art online alternative gun gale online,tv show,,"tomori kusunoki,yoko hikasa,kazuyuki okitsu,chinatsu akasaki",2018,1 season,"anime series,international tv shows",college student karen takes up gun gale online and gets a reputation as the pink demon then her gaming buddy pitohui asks her to join the squad jam
4146,true happy hearts day,movie,,"michela luci,jamie watson,eric peterson,cory doran,nicolas aqui",2019,24 min,children  family movies,true and bartleby try to cheer up the rainbow kingdoms loneliest citizen but his gloomy mood is contagious can a trio of wishes turn things around
4147,velvet buzzsaw,movie,dan gilroy,"jake gyllenhaal,rene russo,zawe ashton,toni collette,john malkovich,natalia dyer,daveed diggs,tom sturridge",2019,113 min,"dramas,thrillers",a feared critic an icy gallery owner and an ambitious assistant snap up a recently deceased artists stash of paintings  with dire consequences
4148,hantu kak limah,movie,mamat khalid,"awie,arab khalid,sharwani ns,tj isa,delimawati,zul ariffin,uqasha senrose,ropie cecupak",2018,110 min,"comedies,horror movies,international movies",when kak limah turns up dead shortly after her marriage to a much younger man her pesky ghost haunts the villagers who cannot seem to get rid of her
4149,love off the cuff,movie,pang hocheung,"miriam chin wah yeung,shawn yue,paul chun,jiang mengjie,wang xiao chen,siu yam yam,kwok cheung tsang,toby lee,dada chan,hugo ng",2017,120 min,"comedies,dramas,international movies",cherie and jimmys relationship is in a rut  until cheries estranged father shows up and a woman from jimmys past shows up with a hidden agenda
4150,paprika,tv show,,"kaycie chase,david gasman,tom morton,lee delong,barbara weberscaff",2018,1 season,kids tv,stan and olivia  the amazingly different paprika twins  use their boundless enthusiasm to turn everyday life into an extraordinary adventure
4151,maharaja the story of ranjit singh,movie,amarjit virdi,"gurpreet guggi,rocky bhardwaj,brijesh ahuja,gick grewal,inderjit grewal,lekhraj thakur",2010,56 min,"dramas,international movies",the tale of legendary warrior king ranjit singh and his rise to establishing punjabs sikh empire comes to life in this animated feature
4152,virsa,movie,pankaj batra,"arya babbar,kanwaljeet singh,gulshan grover,mehreen raheel,aparna sharma,aman dhaliwal,noman ijaz",2010,127 min,"dramas,international movies,music  musicals",a man is disheartened when he visits his welltodo son and grandkids in australia and sees they have detached from their traditional indian morals
4153,bhasmasur,movie,nishil sheth,"imran rasheed,mittal chouhan,trimala adhikari,bhushan vikas,ravi goswami,raghav dutt,kumkum chouhan,rohan mobarsa",2017,74 min,"dramas,independent movies,international movies",in this heartwrenching comingofage story a young boy embarks on an arduous trek with his debtridden father to sell their beloved family donkey
4154,gabriel fluffy iglesias one show fits all,movie,manny rodriguez,gabriel iglesias,2019,91 min,standup comedy,gabriel fluffy iglesias discusses his teenage son and encounters with snoop dogg chris rock and vicente fernández in this standup special for 2019
4155,high society,movie,byun hyuk,"park haeil,su ae,yoon jemoon,ra miran,lee jinwook,kim gyusun,han juyeong,kim haegon,nam mooncheol,jang soyeon",2018,137 min,"dramas,international movies",a deputy curator of a chaebolfunded art gallery and her husband a politically ambitious economics professor will do anything to join the überelite
4156,up among  the stars,movie,zoe berriatúa,"luis callejo,jorge andreu,macarena gómez,magüi mira,álvaro roig,maría morales,josé luis garcía pérez,kiti mánver,ingrid garcía jonsson,liz lobato",2018,86 min,"dramas,international movies,scifi  fantasy",a grieving filmmaker struggling to keep custody of his young son after his wifes death uses magical imaginary stories to maintain their bond
4157,altright age of rage,movie,adam bhala lough,"daryle lamont jenkins,richard spencer",2018,106 min,documentaries,this documentary follows a white power leader and an antifa activist leading up to the charlottesville riots in the first year of trumps presidency
4158,habibie  ainun,movie,faozan rizal,"reza rahadian,bunga citra lestari,tio pakusadewo,ratna riantiarno,mike lucock,vitta mariana barrazza,christoffer nelwan",2012,125 min,"dramas,international movies,romantic movies",this companion to 2016s rudy habibie traces the relationship between indonesias third president and his wife behind the scenes of their public lives
4159,nathicharami,movie,mansore,"sruthi hariharan,sanchari vijay,sharanya,balaji manohar,greeshma sridhar,harshil koushik,shaanthala,gopalkrishna deshpande",2018,114 min,"dramas,independent movies,international movies",reeling from the loss of her husband a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality
4160,rudy habibie,movie,hanung bramantyo,"reza rahadian,chelsea islan,dian nitami,indah permatasari,ernest prakasa,boris bokir,rey bong,cornelio sunny,pandji pragiwaksono,bastian bintang simbolon",2016,143 min,"dramas,international movies",a biopic that explores the hardships and triumphs of the early life of b j habibie a transformative president of indonesia
4161,surga yang tak dirindukan,movie,kuntz agus,"fedi nuril,laudya cynthia bella,raline shah,sandrinna michelle,kemal pahlevi,tanta ginting,zaskia adya mecca,landung simatupang,ray sitoresmi,vitta mariana barrazza",2015,121 min,"dramas,faith  spirituality,international movies",after saving an unwed expectant mother who is injured in a car accident a happily married man takes her as his second wife  without telling his first
4162,surga yang tak dirindukan 2,movie,"hanung bramantyo,meisa felaroze","fedi nuril,raline shah,laudya cynthia bella,reza rahadian,nora danish",2017,119 min,"dramas,faith  spirituality,international movies",in this sequel to the awardwinning 2015 film pras arini and meirose face new challenges that could change the dynamic of their unique love triangle
4163,a taiwanese tale of two cities,tv show,,"tammy chen,james wen,peggy tseng,denny huang",2018,1 season,"international tv shows,tv dramas",a taipei doctor and a san francisco engineer swap homes in a daring pact embarking on journeys filled with trials secrets and unexpected encounters
4164,z nation,tv show,,"nat zang,russell hodgkinson,michael welch,anastasia baranova,kellita smith,dj qualls,keith allan,pisay pao",2018,5 seasons,"tv action  adventure,tv comedies,tv horror",a team embarks on a perilous crosscountry mission to transport the one man who survived a deadly zombie virus hoping he holds the key to a vaccine
4165,goyo the boy general,movie,jerrold tarog,"paulo avelino,carlo aquino,arron villaflor,mon confiado,gwen zamora,jeffrey quizon,alvin anson,empress schuck,perla bautista,benjamin alves",2018,150 min,"dramas,international movies",brash ladies man gregorio goyo del pilar rises to become one of the philippines youngest generals in this historical epic sequel to heneral luna
4166,animas,movie,"laura alvea,josé ortuño","clare durant,iván pellicer,luis bermejo,liz lobato,chacha huang,ángela molina",2018,88 min,"horror movies,international movies",a teens eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed
4167,black earth rising,tv show,,"michaela coel,john goodman,abena ayivor,noma dumezweni,ronald guttman,danny sapani,harriet walter,tyrone huggins,emmanuel imani,lucian msamati,tamara tunie",2018,1 season,"british tv shows,international tv shows,tv dramas",adopted by a human rights attorney after the rwandan genocide legal investigator kate ashby confronts her past when she takes on war crimes cases
4168,club of crows,tv show,,"luis gerardo méndez,mariana treviño,stephanie cayo,daniel giménez cacho,alosian vivancos,antonio de la vega,ianis guerrero,juan pablo de santiago,joaquín ferreira,said sandoval,andrés pardave,sofía niño de rivera,eileen yañez,gutemberg brito,claudia vega,verónica terán,jesús zavala,gustavo ganem,ricardo polanco,emilio guerrero,luis rábago,guillermo dorantes,richie mestre,sofía sisniega,aldo escalante,juan luis orendain,marcela álvarez",2019,4 seasons,"international tv shows,spanishlanguage tv shows,tv comedies",a brother and sister battle high expectations and each other after inheriting a soccer team a series from the creators of nosotros los nobles
4169,examination of conscience,tv show,,,2019,1 season,"crime tv shows,docuseries,international tv shows",allegations of child sexual abuse in spains catholic institutions are examined in interviews with survivors clergy journalists and other experts
4170,mi obra maestra,movie,gastón duprat,"guillermo francella,luis brandoni,raúl arévalo,andrea frigerio,maría soldi,mónica duprat,mahmoud azim,santiago korovsky,julio marticorena,alejandro paker",2018,105 min,"comedies,international movies",a sly art dealer tries to revive the career of his longtime pal a surly painter with a risky plan that tests their morals and friendship
4171,polar,movie,,,2019,119 min,"action  adventure,international movies",an assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young ruthless killers to take him out
4172,the perfect match,tv show,,"wu kangjen,ivy shao,ben wu,xiao man,nylon chen",2017,1 season,"international tv shows,romantic tv shows,tv comedies",a night market vendor clashes with a lofty celebrity chef in a culinary challenge fueling the first sparks of a romance
4173,conversations with a killer the ted bundy tapes,tv show,,,2019,1 season,"crime tv shows,docuseries",presentday interviews archival footage and audio recordings made on death row form a searing portrait of notorious serial killer ted bundy
4174,just love,movie,"andy caballero,diego corsini","franco masini,yamila saud,victorio dalessandro,andrea frigerio,gerardo romano,bautista lena,josefina ramírez,noel schajris,diana hernández,daniela aita",2018,96 min,"dramas,international movies,music  musicals",inspired by his love affair with a conservative lawyer the lead singer of a struggling garage band pens a hit song that propels him to fame
4175,innocent,tv show,seren yüce,"ali atay,haluk bilginer,nur sürer,okan yalabık,tülin özen,serkan keskin,bartu küçükçağlayan,irem altug,mehmet özgür,merve ates,defne halman,cem zeynel kiliç,esra kizildogan",2017,1 season,"crime tv shows,international tv shows,tv dramas",in a peaceful rustic town a retired officer and his family are mired in a murder mystery riddled with shocking buried secrets
4176,close,movie,,"noomi rapace,sophie nélisse,indira varma,george georgiou,christopher sciueref,eoin macken",2019,95 min,"action  adventure,international movies",when attackers target the heiress she is protecting battlehardened bodyguard sam scrambles to save her client  and teach her how to fight back
4177,fyre the greatest party that never happened,movie,chris smith,,2019,98 min,documentaries,the fyre festival was billed as a luxury music experience on a posh private island but it failed spectacularly in the hands of a cocky entrepreneur
4178,io,movie,jonathan helpert,"margaret qualley,anthony mackie,danny huston",2019,96 min,"dramas,scifi  fantasy",as a young scientist searches for a way to save a dying earth she finds a connection with a man who is racing to catch the last shuttle off the planet
4179,marvels the punisher,tv show,,"jon bernthal,ebon mossbachrach,ben barnes,amber rose revah,jason r moore,daniel webber,jaime ray newman,michael nathanson,deborah ann woll,paul schulze",2019,2 seasons,"crime tv shows,tv action  adventure,tv thrillers",a former marine out to punish the criminals responsible for his familys murder finds himself ensnared in a military conspiracy
4180,memory love,tv show,,"andy chen,mandy wei,jolin chien,mandy tao,kris shen,nylon chen",2017,1 season,"international tv shows,romantic tv shows,tv dramas",losing her memory  and her boyfriend  after a car accident jiaen crosses paths with a heart transplant recipient who helps her recall her past
4181,old lord savanna,movie,andré delia,leonardo ribeiro,2018,96 min,"documentaries,international movies",this documentary captures the environmental and societal impact of brazils cerrado savanna suffering from severe deforestation
4182,patria,movie,matías gueilburt,paco ignacio taibo ii,2019,90 min,"documentaries,international movies",paco ignacio taibo ii brings his book trilogy to life highlighting mexicos history in 18541867 a period he considers foundational to the country
4183,soni,movie,ivan ayr,"geetika vidya ohlyan,saloni batra,mohinder gujral,mohit chauhan,vikas shukla,gauri chakraborty,simrat kaur,dimple kaur",2018,97 min,"dramas,independent movies,international movies",while fighting crimes against women in delhi a shortfused policewoman and her levelheaded female boss grapple with gender issues in their own lives
4184,the worlds most extraordinary homes,tv show,,"piers taylor,caroline quentin",2019,3 seasons,"british tv shows,docuseries,international tv shows",awardwinning architect piers taylor and actressproperty enthusiast caroline quentin travel the world to tour unconventional homes in extreme places
4185,trigger warning with killer mike,tv show,,killer mike,2019,1 season,"docuseries,standup comedy  talk shows",in this funny and provocative series rapper and activist killer mike puts his revolutionary ideas about achieving social change into action
4186,abducted in plain sight,movie,skye borgman,,2017,90 min,documentaries,in this true crime documentary a family falls prey to the manipulative charms of a neighbor who abducts their adolescent daughter twice
4187,abdullah the final witness,movie,hashim nadeem khan,"sajid hasan,hameed sheikh,habibullah panezai,imraan abbas,sadia,imran tareen,asal deen,yameen shah",2016,88 min,"dramas,international movies",inspired by real events this drama follows a trucker jailed after driving five illfated travelers across quetta and the officer taking on his case
4188,adhugo,movie,,,2018,105 min,"comedies,independent movies,international movies",a fastfooted piglet named bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animalracing schemes
4189,echcharikkai,movie,sarjun,"sathyaraj,varalakshmi sarathkumar,kishore kumar g,vivek rajgopal,jayakumar,yogi babu,soundar,l alice",2018,127 min,"international movies,thrillers",after kidnapping a millionaires daughter two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down
4190,lavender,tv show,,"ambrose hsu,tammy chen,wang jian long,lin wei jun,hsia ching ting,lin heng yi",2002,1 season,"international tv shows,romantic tv shows,tv dramas",before one of them moves to the yous two childhood friends promise to reunite as adults but illness and the vagaries of the heart stand in the way
4191,pandigai,movie,feroz,"kreshna,anandhi,saravanan,madhusudhanan,black pandi,nitin sathyaa,aruldass,karunas,shanmugha rajan,prinz nithik",2017,125 min,"action  adventure,dramas,international movies",looking for a way out of his impoverished life a lowly hotel waiter joins an underground fight club then he needs a way out of that
4192,pari,movie,syed atif ali,"junaid akhtar,azekah daniel,khushi maheen,saleem mairaj,qavi khan,rasheed naz,faiq asim",2018,116 min,"horror movies,international movies",when their daughter exhibits strange behavior after moving into their new home a couple must come to terms with who she really is
4193,revenger,movie,lee seungwon,"bruce khan,park heesoon,yoon jinseo,kim inkwon,kim nayeon,park cheolmin,jeon soojin,kim jaehyun,choi jeheon",2018,102 min,"action  adventure,international movies",hellbent on avenging the murder of his family a former detective infiltrates a remote island that serves as a prison for vicious death row criminals
4194,sebastian maniscalco stay hungry,movie,rik reinholdtsen,sebastian maniscalco,2019,65 min,standup comedy,sebastian maniscalco brings an acerbically unique approach to peacocks on planes life hacks rich inlaws and lifes annoyances in this comedy special
4195,the doll,movie,rocky soraya,"shandy aulia,denny sumargo,sara wijayanto,vitta mariana barrazza,demian aditya,faiza mahnur,hans gunawan,aslam abad,annette edoarda,wenty mamenda",2016,106 min,"horror movies,international movies",eerie things begin to happen after a man gives his wife a doll unaware it once belonged to a girl who was murdered the first of the doll films
4196,the doll 2,movie,rocky soraya,"luna maya,herjunot ali,sara wijayanto,maria sabta,rydhen afexi,ira ilva sari,shofia shireen,mega carefansa,wati sudiyono,princess martinez",2017,117 min,"horror movies,international movies",a mother uses her deceased daughters doll as a medium to communicate with her but the consequences are chilling the second of the doll films
4197,la grande chaumière violette,tv show,,"eli shi,alice ko,jenshuo cheng,chiunghsuan hsieh,herb hsu,bryant lee,hsiuling lin,ma julung,chingkuan wang",2016,1 season,"international tv shows,tv dramas",reminiscing about his youth in taiwans turbulent 1920s guo xuehu reflects on his passion for art a friendship with a painter  and a doomed romance
4198,baazaar,movie,gauravv k chawla,"saif ali khan,chitrangada singh,radhika apte,rohan vinod mehra,manish chaudhary,denzil smith,pawan chopra,deepak gheewala,utkarsh mazumdar,danish hussain",2018,136 min,"dramas,international movies",a wideeyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol a ruthless mumbai stock tycoon
4199,all of you,movie,dan villegas,"jennylyn mercado,derek ramsay,yayo aguila,kean cipriano,nico antonio,enzo marcos,via antonio,hannah ladesma",2017,104 min,"comedies,dramas,international movies",two strangers meet on a dating app and experience instant chemistry but their relationship unravels as jarring differences catch up to them
4200,back with the ex,tv show,,,2018,1 season,"international tv shows,reality tv,romantic tv shows",new beginnings or old baggage four singles have one chance to reignite romance with an ex  or leave the past behind for good
4201,friends from college,tv show,,"keeganmichael key,cobie smulders,billy eichner,fred savage,nat faxon,annie parisse,jae suh park",2019,2 seasons,"romantic tv shows,tv comedies",twenty years after graduation a tightknit group of college friends reconnects and discovers that love has not gotten easier with age
4202,hardy bucks,tv show,,"martin maloney,owen colgan,chris tordoff,peter cassidy,tom kilgallon,michael salmon,wayne lynch,tommy miller",2018,4 seasons,tv comedies,a circle of young men entertain vague ambitions involving quick cash women and showbiz in this mockumentary on smalltown irish life in county mayo
4203,horrid henry,tv show,,"lizzie waterworth,joanna ruiz,emma tate,sue elliot nicholls,tamsin heatley,wayne forester,aidan cook,stephanie anne mills,david holt",2019,2 seasons,"british tv shows,kids tv,tv comedies",to his familys frustration henry is skilled at making trouble from babysitting pets in his bedroom to starting a shark panic at the swimming pool
